FileName	Image width [pix]	Image height [pix]	Block size N	Relative share hemorrhage	Relative share scar	Relative share necrosis	Relative share squeezed tissue	Relative share preexisting brain parenchyme	Relative share tumor	Relative share background	Area total [mm²]	Area hemorrhage [mm²]	Area scar [mm²]	Area necrosis [mm²]	Area squeezed tissue [mm²]	Area preexisting brain parenchyme [mm²]	Area tumor [mm²]	Area background [mm²]	Mean Nuclei # Necrosis	Mean Nuclei # Tumor	Mean Nuclei # Whole	Mean Nuclei # Scars	Mean Nuclei # Preexisting	Mean AVG Area Necrosis	Mean AVG Area Tumor	Mean AVG Area Whole	Mean AVG Area Scars	Mean AVG Area Preexisting	Mean STD Area Necrosis	Mean STD Area Tumor	Mean STD Area Whole	Mean STD Area Scars	Mean STD Area Preexisting	Mean COV Area Necrosis	Mean COV Area Tumor	Mean COV Area Whole	Mean COV Area Scars	Mean COV Area Preexisting	Mean AVG Eccentricity Necrosis	Mean AVG Eccentricity Tumor	Mean AVG Eccentricity Whole	Mean AVG Eccentricity Scars	Mean AVG Eccentricity Preexisting	Mean STD Eccentricity Necrosis	Mean STD Eccentricity Tumor	Mean STD Eccentricity Whole	Mean STD Eccentricity Scars	Mean STD Eccentricity Preexisting	Mean COV Eccentricity Necrosis	Mean COV Eccentricity Tumor	Mean COV Eccentricity Whole	Mean COV Eccentricity Scars	Mean COV Eccentricity Preexisting	Median Nuclei # Necrosis	Median Nuclei # Tumor	Median Nuclei # Whole	Median Nuclei # Scars	Median Nuclei # Preexisting	Median AVG Area Necrosis	Median AVG Area Tumor	Median AVG Area Whole	Median AVG Area Scars	Median AVG Area Preexisting	Median STD Area Necrosis	Median STD Area Tumor	Median STD Area Whole	Median STD Area Scars	Median STD Area Preexisting	Median COV Area Necrosis	Median COV Area Tumor	Median COV Area Whole	Median COV Area Scars	Median COV Area Preexisting	Median AVG Eccentricity Necrosis	Median AVG Eccentricity Tumor	Median AVG Eccentricity Whole	Median AVG Eccentricity Scars	Median AVG Eccentricity Preexisting	Median STD Eccentricity Necrosis	Median STD Eccentricity Tumor	Median STD Eccentricity Whole	Median STD Eccentricity Scars	Median STD Eccentricity Preexisting	Median COV Eccentricity Necrosis	Median COV Eccentricity Tumor	Median COV Eccentricity Whole	Median COV Eccentricity Scars	Median COV Eccentricity Preexisting	Mode Nuclei # Necrosis	Mode Nuclei # Tumor	Mode Nuclei # Whole	Mode Nuclei # Scars	Mode Nuclei # Preexisting	Mode AVG Area Necrosis	Mode AVG Area Tumor	Mode AVG Area Whole	Mode AVG Area Scars	Mode AVG Area Preexisting	Mode STD Area Necrosis	Mode STD Area Tumor	Mode STD Area Whole	Mode STD Area Scars	Mode STD Area Preexisting
Graz4.1-2010 HE - 2016-07-19 12.42.16	13312	10880	160	0	0	0	0	0.133877916	0.241200049	0.624922035	120.4652763	0	0	0	0	16.12764009	29.05623057	75.28140562	-1	1111.942125	964.3048757	-1	758.9582147	-1	17.42603153	21.5143079	-1	27.4925515	-1	7.328560836	10.05737854	-1	13.97769856	-1	0.416400226	0.45525025	-1	0.508150532	-1	0.667030574	0.666644369	-1	0.665229835	-1	0.135744597	0.140354076	-1	0.146630439	-1	0.205185392	0.2126421	-1	0.223116741	-1	1080.185129	892.3268458	-1	751.4331333	-1	17.466624	19.961856	-1	27.41138922	-1	7.013016001	8.944883493	-1	13.41837562	-1	0.4099942	0.44048015	-1	0.494382431	-1	0.668288719	0.667788766	-1	0.667206401	-1	0.132625873	0.13742538	-1	0.143467213	-1	0.198530817	0.204620653	-1	0.21417377	-1	1200	1200	-1	660	-1	18	18	-1	27	-1	11	11	-1	13
Graz4.5-2010 HE - 2016-07-19 12.44.59	32768	26432	160	0.00057974	0.048885959	0.017155274	0	0	0.272872352	0.660506675	720.3932539	0.417641119	35.21711474	12.35854391	0	0	196.5754017	475.8245525	1115.503244	2005.580345	1809.236193	1083.026402	-1	22.35304224	30.23935764	28.8980841	24.0960499	-1	12.0216694	15.25195596	15.00745517	14.87180678	-1	0.528612482	0.50297197	0.519219763	0.606514836	-1	0.676629222	0.68362416	0.69037887	0.734068457	-1	0.137521939	0.153159465	0.150170606	0.138406418	-1	0.206203297	0.225705464	0.21951641	0.190184596	-1	798.3977041	1972.511975	1831.618262	892.3268458	-1	21.77747034	30.41781624	29.39351909	23.887104	-1	11.59785488	15.1548896	14.94323892	14.64083985	-1	0.532584254	0.495875495	0.506907933	0.61179336	-1	0.679143613	0.685822605	0.690812163	0.736319642	-1	0.137650909	0.152368391	0.150025941	0.138904884	-1	0.202330539	0.222152461	0.21731267	0.187900222	-1	94	2300	2300	0	-1	24	31	31	24	-1	11	15	15	15	-1
Graz5.1-2009 HE - 2016-07-19 12.55.37	9216	7296	160	0	0	0	0.022185714	0.037171288	0.31019387	0.630449128	55.92641333	0	0	0	1.24076742	2.078856795	17.34803061	35.2587585	-1	1018.078975	924.3507068	-1	212.4860461	-1	14.14745549	14.0170699	-1	12.92414048	-1	6.107631349	5.881592982	-1	3.944691011	-1	0.424625285	0.410921411	-1	0.29786426	-1	0.666300874	0.663841057	-1	0.634036859	-1	0.124144289	0.122040504	-1	0.101257731	-1	0.187764261	0.185677552	-1	0.166154577	-1	1033.220558	939.2914166	-1	140.8937125	-1	14.26779819	14.139648	-1	12.47616	-1	6.042170396	5.912373072	-1	4.01770522	-1	0.418721787	0.413179107	-1	0.322030594	-1	0.666787035	0.665828196	-1	0.647665728	-1	0.123330552	0.122244319	-1	0.09996428	-1	0.183511174	0.182978042	-1	0.162926074	-1	1500	1500	-1	140	-1	15	15	-1	12	-1	5.2	5.2	-1	0
Graz5.4-2009 HE - 2016-07-19 12.57.30	30720	21184	160	0.005737451	0	0.042888078	0	0	0.392661935	0.558712537	541.2761056	3.105544954	0	23.21429193	0	0	212.5385228	302.4177459	1477.249228	3752.906927	3552.059735	-1	-1	19.06257587	28.21106557	27.34850226	-1	-1	9.759001029	17.24062741	16.56136648	-1	-1	0.491138743	0.6075039	0.597894768	-1	-1	0.684814889	0.724855709	0.721040775	-1	-1	0.130491079	0.145867999	0.144629902	-1	-1	0.192337885	0.202063985	0.201453097	-1	-1	845.3622749	3804.130237	3710.201096	-1	-1	18.760448	27.91803345	27.38884066	-1	-1	9.275753171	16.94667617	16.4923241	-1	-1	0.491853637	0.605635603	0.601653636	-1	-1	0.690033104	0.726295373	0.723866865	-1	-1	0.136039311	0.145016755	0.144609198	-1	-1	0.19689308	0.199359441	0.199392634	-1	-1	470	3900	3900	-1	-1	20	28	28	-1	-1	11	16	16	-1	-1
Graz9.2-2011 HE - 2016-07-19 13.06.23	22528	26048	160	0.00156263	0	0.000670351	0.030157342	0	0.200100599	0.767509079	488.075151	0.762680969	0	0.327181474	14.71904919	0	97.66412988	374.6021095	839.4917036	3335.63845	3324.417619	-1	-1	20.4780936	35.70814099	35.63398864	-1	-1	12.2548133	20.82949571	20.78910162	-1	-1	0.59374117	0.579504404	0.579615091	-1	-1	0.677987957	0.71504291	0.714851483	-1	-1	0.139368496	0.150672033	0.150615015	-1	-1	0.212335065	0.212442941	0.21243102	-1	-1	962.773702	3522.342812	3522.342812	-1	-1	21.56705891	36.29681092	36.24572477	-1	-1	12.26031424	20.88055679	20.85701829	-1	-1	0.564771562	0.574901237	0.574920207	-1	-1	0.668758922	0.716857427	0.71670186	-1	-1	0.128247004	0.150210848	0.150184185	-1	-1	0.188722757	0.210078132	0.210024206	-1	-1	1100	3900	3900	-1	-1	22	41	41	-1	-1	13	21	21	-1	-1
Graz9.4-2012 HE - 2016-07-19 13.14.11	14336	13120	160	0	0.141848138	0.009436891	0	0	0.192964417	0.655750554	156.4413316	0	22.19091162	1.476319816	0	0	30.18761034	102.5864899	2850.749449	2395.58645	2896.516884	3488.269537	-1	24.47648377	35.11839163	35.53983354	36.94251645	-1	17.3072094	21.76223383	23.91562156	27.02320725	-1	0.700878704	0.624827777	0.673472447	0.72964513	-1	0.739187838	0.729856169	0.74624383	0.767017976	-1	0.135968164	0.14652204	0.143786361	0.140676879	-1	0.184240362	0.201774919	0.193657077	0.183917318	-1	2841.356535	2254.2994	2630.015966	3428.413671	-1	22.8232864	34.62509929	34.95315178	36.1161728	-1	16.82502756	21.13461768	23.01421533	26.12085785	-1	0.706783496	0.614786927	0.672833556	0.727901253	-1	0.741682535	0.731607097	0.749457737	0.765603263	-1	0.137224825	0.145766862	0.142377127	0.140041544	-1	0.182724314	0.198741261	0.190375219	0.1826443	-1	1900	2300	2300	3100	-1	22	34	34	38	-1	13	21	21	23	-1
Graz9.8-2014 HE - 2016-07-19 13.17.15	36864	26112	160	0.022978377	0.045104993	0.008749126	0	0	0.480826021	0.442341483	800.6307592	18.39719582	36.11244474	7.004819048	0	0	384.9641018	354.1521978	3450.405017	2634.963218	2592.865487	1854.997877	-1	31.36933525	39.18158289	38.3919933	31.56051987	-1	20.94920548	25.48377204	25.13688125	22.11537631	-1	0.665292065	0.64828196	0.65345226	0.697982705	-1	0.702129181	0.706666063	0.711211589	0.756804519	-1	0.151574343	0.152930706	0.151970972	0.14271558	-1	0.21679131	0.218218423	0.215594309	0.190195017	-1	3381.4491	2583.051396	2536.086825	1596.795408	-1	30.89821608	39.19177728	38.3487074	31.1904	-1	20.42729333	24.90764214	24.4954142	21.23403482	-1	0.652880828	0.640386715	0.644096929	0.683988431	-1	0.701463512	0.709981203	0.712778039	0.754043468	-1	0.149178851	0.150971156	0.150305853	0.143148486	-1	0.213024945	0.212892826	0.210990183	0.190533812	-1	3100	1500	1500	1500	-1	27	40	40	32	-1	21	24	22	20	-1
Graz10.1-2009 HE - 2016-07-19 13.32.01	12288	14400	160	0	0.005010591	0	0	0	0.280008681	0.714980729	147.1747719	0	0.737432548	0	0	0	41.2102137	105.2271257	-1	3331.419821	3299.409042	1756.474949	-1	-1	23.65627865	23.60130294	20.58615425	-1	-1	13.02012222	12.98139459	10.3082168	-1	-1	0.544159533	0.543514981	0.496002672	-1	-1	0.708921041	0.708549074	0.702098018	-1	-1	0.144581596	0.144677653	0.146981319	-1	-1	0.204488143	0.204753856	0.21133782	-1	-1	3334.484529	3287.519958	1502.866267	-1	-1	24.13513025	24.03920974	20.50176	-1	-1	13.09728492	13.02859122	9.430644748	-1	-1	0.543589461	0.542923301	0.482006539	-1	-1	0.711640037	0.711469805	0.713068352	-1	-1	0.144901435	0.145102766	0.152204857	-1	-1	0.203289499	0.203513355	0.214741365	-1	-1	3100	3100	1300	-1	-1	24	24	21	-1	-1	14	14	13	-1
Graz10.3-2009 HE - 2016-07-19 13.35.30	11264	11520	160	0	0	0.057153135	0	0	0.284471963	0.658374902	107.9281661	0	0	6.168433084	0	0	30.70253723	71.05719576	281.5739497	1499.67594	1343.515777	-1	-1	14.63400353	20.43991426	19.81128799	-1	-1	4.801054395	10.24667321	9.710411134	-1	-1	0.295472481	0.496524046	0.478167479	-1	-1	0.694057513	0.706232757	0.705115784	-1	-1	0.080525788	0.135286186	0.130492556	-1	-1	0.118767146	0.192832688	0.186320075	-1	-1	46.96457083	1455.901696	1315.007983	-1	-1	14.32448	20.59073561	20.07034435	-1	-1	4.297791151	10.18928886	9.917036828	-1	-1	0.307437731	0.49209921	0.488663846	-1	-1	0.695167189	0.708083888	0.707111557	-1	-1	0.087902759	0.135172764	0.133712868	-1	-1	0.118022768	0.190034779	0.188482486	-1	-1	0	1500	1500	-1	-1	7.5	21	21	-1	-1	0	11	11	-1	-1
Graz11.2-2010 HE - 2016-07-19 13.38.20	44032	27392	160	0.009055142	0	0.11007808	0	0	0.312979225	0.567887553	1003.186853	9.083999391	0	110.4288826	0	0	313.9766437	569.6973271	1826.714863	4430.762719	3716.625003	-1	-1	21.97588887	37.61595161	33.36853833	-1	-1	13.41264163	20.95281703	18.92240002	-1	-1	0.601673447	0.553066225	0.566830434	-1	-1	0.680919594	0.707382032	0.700372193	-1	-1	0.136868141	0.151480337	0.147614574	-1	-1	0.203010602	0.215323646	0.212067684	-1	-1	1502.866267	4555.56337	4085.917662	-1	-1	21.625344	37.46966302	34.98749217	-1	-1	13.43351338	20.57675171	19.1087316	-1	-1	0.608715671	0.547664484	0.558714459	-1	-1	0.68641621	0.708846118	0.703403835	-1	-1	0.140572165	0.151341598	0.149548187	-1	-1	0.203181085	0.214086906	0.212174385	-1	-1	1500	4600	4600	-1	-1	21	37	37	-1	-1	15	21	20	-1	-1
